GRE,TOEFL,UnivRating,SOP,LOR,CGPA,Research,Chance,High_Chance
323.0,107.0,4,3.0,2.5,8.48,1,0.78,0
328.0,113.0,4,4.0,2.5,8.77,1,0.83,1
304.0,103.0,5,5.0,3.0,7.92,0,0.71,0
317.0,106.0,3,3.5,3.0,7.89,1,0.73,0
311.0,101.0,2,2.5,3.5,8.34,1,0.7,0
319.0,102.0,3,2.5,2.5,8.37,0,0.68,0
327.0,115.0,4,3.5,4.0,9.14,0,0.79,0
322.0,112.0,3,3.0,4.0,8.62,1,0.76,0
302.0,110.0,3,4.0,4.5,8.5,0,0.65,0
307.0,105.0,2,2.5,4.5,8.12,1,0.67,0
297.0,99.0,4,3.0,3.5,7.81,0,0.54,0
298.0,101.0,4,2.5,4.5,7.69,1,0.53,0
300.0,95.0,2,3.0,1.5,8.22,1,0.62,0
301.0,99.0,3,2.5,2.0,8.45,1,0.68,0
332.0,108.0,5,4.5,4.0,9.02,1,0.87,1
312.0,103.0,4,4.0,5.0,8.43,0,0.73,0
327.0,113.0,4,4.5,4.5,9.04,0,0.84,1
